Symbol: AAPL Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
218,DTSreversal(BUY),Buy to Open,110.0,$22.71,10/10/12,,$9669.81,219.0,
219,DTSreversal(BUY),Buy to Open,109.0,$22.89,10/11/12,,$9519.75,328.0,
220,DTSreversal(SELL),Sell to Close,-328.0,$17.92,1/15/13,($1599.62),$8039.65,0.0,
221,DTSreversal(SELL),Sell to Close,-138.0,$18.09,1/29/14,$0.00,$8067.99,-138.0,
222,DTSreversal(BUY),Buy to Open,138.0,$18.09,1/29/14,,$8039.65,0.0,
223,DTSreversal(SELL),Sell to Close,-139.0,$17.88,1/30/14,$0.00,$8044.45,-139.0,
224,DTSreversal(BUY),Buy to Open,139.0,$17.88,1/30/14,,$8039.65,0.0,
225,DTSreversal(SELL),Sell to Close,-140.0,$17.85,1/31/14,$0.00,$8035.56,-140.0,
226,DTSreversal(BUY),Buy to Open,140.0,$17.85,1/31/14,,$8039.65,0.0,
227,DTSreversal(SELL),Sell to Close,-139.0,$17.88,2/3/14,$0.00,$8035.03,-139.0,
228,DTSreversal(BUY),Buy to Open,139.0,$17.88,2/3/14,,$8039.65,0.0,
229,DTSreversal(SELL),Sell to Close,-139.0,$17.91,2/4/14,$0.00,$8003.61,-139.0,
230,DTSreversal(BUY),Buy to Open,139.0,$17.91,2/4/14,,$8039.65,0.0,
231,DTSreversal(SELL),Sell to Close,-137.0,$18.17,2/5/14,$0.00,$8021.06,-137.0,
232,DTSreversal(BUY),Buy to Open,137.0,$18.17,2/5/14,,$8039.65,0.0,
233,DTSreversal(BUY),Buy to Open,133.0,$18.70,4/8/14,,$8039.51,133.0,
234,DTSreversal(BUY),Buy to Open,133.0,$18.69,4/9/14,,$8104.87,266.0,
235,DTSreversal(BUY),Buy to Open,134.0,$18.56,4/14/14,,$8032.69,400.0,
236,DTSreversal(SELL),Sell to Close,-400.0,$20.28,4/25/14,$651.47,$8691.12,0.0,
237,DTSreversal(BUY),Buy to Open,103.0,$24.07,10/17/14,,$8727.43,103.0,
238,DTSreversal(SELL),Sell to Close,-103.0,$25.62,10/22/14,$159.91,$8851.03,0.0,
239,DTSreversal(BUY),Buy to Open,92.0,$27.06,12/16/14,,$8816.99,92.0,
240,DTSreversal(BUY),Buy to Open,93.0,$26.69,12/17/14,,$8940.25,185.0,
241,DTSreversal(SELL),Sell to Close,-185.0,$28.50,12/29/14,$301.04,$9152.07,0.0,
242,DTSreversal(BUY),Buy to Open,94.0,$26.56,1/6/15,,$9152.31,94.0,
243,DTSreversal(BUY),Buy to Open,94.0,$26.57,1/7/15,,$9222.34,188.0,
244,DTSreversal(BUY),Buy to Open,94.0,$26.50,1/20/15,,$9332.08,282.0,
245,DTSreversal(SELL),Sell to Close,-282.0,$28.10,1/23/15,$439.45,$9591.52,0.0,
246,DTSreversal(BUY),Buy to Open,80.0,$31.13,6/30/15,,$9609.42,80.0,
247,DTSreversal(BUY),Buy to Open,81.0,$30.64,7/9/15,,$9451.70,161.0,
248,DTSreversal(BUY),Buy to Open,83.0,$30.02,7/10/15,,$9647.51,244.0,
249,DTSreversal(SELL),Sell to Close,-244.0,$32.13,7/17/15,$375.01,$9966.54,0.0,
250,DTSreversal(BUY),Buy to Open,81.0,$30.59,7/31/15,,$9944.87,81.0,
251,DTSreversal(BUY),Buy to Open,82.0,$30.33,8/3/15,,$9828.32,163.0,
252,DTSreversal(SELL),Sell to Close,-163.0,$25.78,8/25/15,($762.50),$9204.03,0.0,
253,DTSreversal(SELL),Sell to Close,-96.0,$25.78,9/12/16,$0.00,$9148.59,-96.0,
254,DTSreversal(BUY),Buy to Open,96.0,$25.78,9/12/16,,$9204.03,0.0,
255,DTSreversal(SELL),Sell to Close,-89.0,$27.87,11/2/16,$0.00,$9201.81,-89.0,
256,DTSreversal(BUY),Buy to Open,89.0,$27.87,11/2/16,,$9204.03,0.0,
257,DTSreversal(BUY),Buy to Open,89.0,$27.90,11/3/16,,$9164.87,89.0,
258,DTSreversal(SELL),Sell to Close,-180.0,$27.46,11/4/16,($39.16),$9187.40,-91.0,
259,DTSreversal(BUY),Buy to Open,91.0,$27.46,11/4/16,,$9164.87,0.0,
260,DTSreversal(SELL),Sell to Close,-91.0,$27.21,11/7/16,$0.00,$9129.16,-91.0,
261,DTSreversal(BUY),Buy to Open,91.0,$27.21,11/7/16,,$9164.87,0.0,
262,DTSreversal(SELL),Sell to Close,-90.0,$27.60,11/8/16,$0.00,$9150.25,-90.0,
263,DTSreversal(BUY),Buy to Open,90.0,$27.60,11/8/16,,$9164.87,0.0,
264,DTSreversal(SELL),Sell to Close,-92.0,$26.95,11/11/16,$0.00,$9150.15,-92.0,
265,DTSreversal(BUY),Buy to Open,92.0,$26.95,11/11/16,,$9164.87,0.0,
266,DTSreversal(SELL),Sell to Close,-92.0,$27.11,11/14/16,$0.00,$9227.43,-92.0,
267,DTSreversal(BUY),Buy to Open,92.0,$27.11,11/14/16,,$9164.87,0.0,
268,DTSreversal(SELL),Sell to Close,-94.0,$26.43,11/15/16,$0.00,$9131.97,-94.0,
269,DTSreversal(BUY),Buy to Open,94.0,$26.43,11/15/16,,$9164.87,0.0,
270,DTSreversal(SELL),Sell to Close,-93.0,$26.78,11/16/16,$0.00,$9097.91,-93.0,
271,DTSreversal(BUY),Buy to Open,93.0,$26.78,11/16/16,,$9164.87,0.0,
272,DTSreversal(BUY),Buy to Open,68.0,$36.35,6/13/17,,$9184.76,68.0,
273,DTSreversal(BUY),Buy to Open,68.0,$36.65,6/14/17,,$9136.14,136.0,
274,DTSreversal(BUY),Buy to Open,68.0,$36.29,6/15/17,,$9091.77,204.0,
275,DTSreversal(SELL),Sell to Close,-204.0,$37.26,7/17/17,$169.15,$9334.02,0.0,
